refactoring_type,file_path,method_name,class_name,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19,5,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19,5,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19,1,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Remove Class Modifier,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,,MethodUtilsTest,20,1,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Extract Method,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,100,5,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Parameterize Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,39,2,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Move Class,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,137,1,1,93596dac5a33d991618aad18ce980788373bfe1d
Add Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,135,19,6,93596dac5a33d991618aad18ce980788373bfe1d
Add Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,4,1,0,93596dac5a33d991618aad18ce980788373bfe1d
Add Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,18,1,0,93596dac5a33d991618aad18ce980788373bfe1d
Change Class Access Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,137,1,1,93596dac5a33d991618aad18ce980788373bfe1d
Remove Class Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,137,1,1,93596dac5a33d991618aad18ce980788373bfe1d
Remove Class Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,137,1,1,93596dac5a33d991618aad18ce980788373bfe1d
Change Method Access Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,74,1,1,93596dac5a33d991618aad18ce980788373bfe1d
Replace Anonymous With Class,gson/src/main/java/com/google/gson/TypeAdapter.java,,TypeAdapter,43,4,3,7c55d8babe0ac9b21b3d3e9db655afa3f1b3bbf2
Change Class Access Modifier,gson/src/main/java/com/google/gson/internal/bind/EnumTypeAdapter.java,,EnumTypeAdapter,166,17,6,61609323da441e057e711362f93bc748f340f6cc
Change Attribute Access Modifier,gson/src/main/java/com/google/gson/internal/bind/EnumTypeAdapter.java,,EnumTypeAdapter,32,5,3,61609323da441e057e711362f93bc748f340f6cc
Change Class Access Modifier,gson/src/main/java/com/google/gson/internal/bind/JsonElementTypeAdapter.java,,JsonElementTypeAdapter,279,35,5,61609323da441e057e711362f93bc748f340f6cc
Change Attribute Access Modifier,gson/src/main/java/com/google/gson/internal/bind/JsonElementTypeAdapter.java,,JsonElementTypeAdapter,2,1,0,61609323da441e057e711362f93bc748f340f6cc
Remove Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,3,1,1,61609323da441e057e711362f93bc748f340f6cc
Remove Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,4,1,0,61609323da441e057e711362f93bc748f340f6cc
Remove Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,3,1,0,61609323da441e057e711362f93bc748f340f6cc
Remove Variable Modifier,extras/src/main/java/com/google/gson/graph/GraphAdapterBuilder.java,,GraphAdapterBuilder,24,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
