refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Add Parameter Annotation,EditorTestFixture,protected,1,1,1,platform/testFramework/src/com/intellij/testFramework/fixtures/EditorTestFixture.java,26764034139143fafc541bd07faf69712da05db8,10,3
Add Parameter Annotation,LookupImpl,public,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/lookup/impl/LookupImpl.java,1ef1057c9703fba6f6bd4fa2fc49e606e0b0226a,14,4
Add Parameter Annotation,LookupImpl,public,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/lookup/impl/LookupImpl.java,1ef1057c9703fba6f6bd4fa2fc49e606e0b0226a,14,4
Extract Method,CompletionPhase,,38,12,4,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,b3aaca1310eb726ba2cacb650296fae7792b92f1,6,0
Extract Method,CompletionPhase,,38,12,4,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,b3aaca1310eb726ba2cacb650296fae7792b92f1,6,0
Add Parameter Annotation,CompletionProgressIndicator,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,c177e3bf87bae432d247cff0012c1dc2ff218ba8,9,1
Move Class,LocalInspectionTestGenerated,,33,2,1,plugins/kotlin/idea/tests/test/org/jetbrains/kotlin/idea/inspections/LocalInspectionTestGenerated.java,f6c74ffa8d315ac4d88b7bfa56d314faa3df6740,13,0
Modify Class Annotation,LocalInspectionTestGenerated,,1,2,1,plugins/kotlin/idea/tests/test/org/jetbrains/kotlin/idea/inspections/LocalInspectionTestGenerated.java,f6c74ffa8d315ac4d88b7bfa56d314faa3df6740,13,0
Add Class Annotation,EnvironmentUtilTest,,65,6,3,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,0
Change Variable Type,EnvironmentUtilTest,private,1,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,2
Change Variable Type,EnvironmentUtilTest,private,1,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,2
