refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Inline Variable,plugins/hg4idea/testSrc/org/zmlx/hg4idea/test/HgMoveTest.java,public,HgMoveTest,3,88828ba67642ae9b36756889de4d445b5bb15fe9
Change Variable Type,plugins/hg4idea/testSrc/org/zmlx/hg4idea/test/HgMoveTest.java,public,HgMoveTest,2,88828ba67642ae9b36756889de4d445b5bb15fe9
Add Class Annotation,platform/platform-impl/src/com/intellij/openapi/progress/impl/CheckCanceledEvent.java,,CheckCanceledEvent,94,221242a510cce7c2ad2389c10ede8b2f5e9183ca
Extract Variable,json/backend/src/com/jetbrains/jsonSchema/impl/fixes/AddMissingPropertyFix.java,public,AddMissingPropertyFix,5,e6875fbbef6976e52cd157436e95963e0b11982e
Add Method Annotation,platform/xdebugger-impl/src/com/intellij/xdebugger/impl/ui/tree/nodes/WatchNodeImpl.java,public,WatchNodeImpl,8,e98d6fd3593c34427bb5233f0aef64ca80270f59
Add Class Annotation,platform/xdebugger-impl/src/com/intellij/xdebugger/impl/ui/tree/nodes/XEvaluationCallbackWithOrigin.java,,XEvaluationCallbackWithOrigin,14,e98d6fd3593c34427bb5233f0aef64ca80270f59
Add Class Annotation,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,,ActionGroupPanelWrapper,146,dbd4a6b928d91015838b32e6446f110f1afb585d
Replace Anonymous With Class,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,,ActionGroupPanelWrapper,145,dbd4a6b928d91015838b32e6446f110f1afb585d
Rename Method,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,,ActionGroupPanelWrapper,40,dbd4a6b928d91015838b32e6446f110f1afb585d
Change Variable Type,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,public,ActionGroupPanelWrapper,5,dbd4a6b928d91015838b32e6446f110f1afb585d
Rename Variable,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,public,ActionGroupPanelWrapper,5,dbd4a6b928d91015838b32e6446f110f1afb585d
Rename Variable,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,public,ActionGroupPanelWrapper,6,dbd4a6b928d91015838b32e6446f110f1afb585d
Rename Variable,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,public,ActionGroupPanelWrapper,20,dbd4a6b928d91015838b32e6446f110f1afb585d
Rename Parameter,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,public,ActionGroupPanelWrapper,14,dbd4a6b928d91015838b32e6446f110f1afb585d
Rename Variable,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,private,ActionGroupPanelWrapper,10,dbd4a6b928d91015838b32e6446f110f1afb585d
Add Method Annotation,platform/core-impl/src/com/intellij/psi/impl/PsiDocumentManagerBase.java,public,PsiDocumentManagerBase,14,fa299d562f733d636bd58a58db1db9613322d4cd
Rename Method,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,,PsiDocumentManagerImplTest,21,fa299d562f733d636bd58a58db1db9613322d4cd
Rename Method,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,,PsiDocumentManagerImplTest,91,fa299d562f733d636bd58a58db1db9613322d4cd
Extract Method,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,,PsiDocumentManagerImplTest,109,fa299d562f733d636bd58a58db1db9613322d4cd
Extract Method,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,,PsiDocumentManagerImplTest,224,fa299d562f733d636bd58a58db1db9613322d4cd
Replace Variable With Attribute,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,private,PsiDocumentManagerImplTest,4,fa299d562f733d636bd58a58db1db9613322d4cd
Extract Variable,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,private,PsiDocumentManagerImplTest,20,fa299d562f733d636bd58a58db1db9613322d4cd
Change Variable Type,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,private,PsiDocumentManagerImplTest,21,fa299d562f733d636bd58a58db1db9613322d4cd
Rename Variable,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,private,PsiDocumentManagerImplTest,21,fa299d562f733d636bd58a58db1db9613322d4cd
Move Code,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,,PsiDocumentManagerImplTest,180,fa299d562f733d636bd58a58db1db9613322d4cd
Extract Variable,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,private,PsiDocumentManagerImplTest,11,fa299d562f733d636bd58a58db1db9613322d4cd
Change Thrown Exception Type,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,public,PsiDocumentManagerImplTest,93,fa299d562f733d636bd58a58db1db9613322d4cd
Add Method Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,public,CodeCompletionHandlerBase,7,882da60d891257a4ec7dcd3de8274a67b1efc8bf
Add Method Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,public,CodeCompletionHandlerBase,13,882da60d891257a4ec7dcd3de8274a67b1efc8bf
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,public,CodeCompletionHandlerBase,29,882da60d891257a4ec7dcd3de8274a67b1efc8bf
Add Method Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,public,CodeCompletionHandlerBase,27,882da60d891257a4ec7dcd3de8274a67b1efc8bf
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,9,5f5b00a7ff86c2b12f5d2092244690b226e75a3f
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,9,5f5b00a7ff86c2b12f5d2092244690b226e75a3f
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,69,3b9fba495ef71321782639cb8cf08a0fce099274
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,69,3b9fba495ef71321782639cb8cf08a0fce099274
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,53,3b9fba495ef71321782639cb8cf08a0fce099274
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,53,3b9fba495ef71321782639cb8cf08a0fce099274
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,53,3b9fba495ef71321782639cb8cf08a0fce099274
Change Method Access Modifier,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,6,26aa6dc4def83c2150aa99fce863953a1bd3ccde
Change Method Access Modifier,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,76,26aa6dc4def83c2150aa99fce863953a1bd3ccde
Change Method Access Modifier,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,6,26aa6dc4def83c2150aa99fce863953a1bd3ccde
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,protected,CodeCompletionHandlerBase,83,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,59,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,59,391f4f62f4ad8e77541aff22992694daa46360ca
Add Method Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,43,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,package,CompletionProgressIndicator,94,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,package,CompletionProgressIndicator,94,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,public,CompletionPhase,79,391f4f62f4ad8e77541aff22992694daa46360ca
Remove Parameter Modifier,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,public,CompletionPhase,78,391f4f62f4ad8e77541aff22992694daa46360ca
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,,CompletionPhase,3,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,13,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,13,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,21,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,16,391f4f62f4ad8e77541aff22992694daa46360ca
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,package,CompletionPhase,16,391f4f62f4ad8e77541aff22992694daa46360ca
Add Method Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,public,CompletionPhase,10,a3f1066d5bf1c449e157123b225b10550a67358e
Extract Method,platform/lang-impl/src/com/intellij/codeInsight/completion/ActionTracker.java,,ActionTracker,40,0d8508a26784c1e0eedd76b1d02b08cff9d3cb07
Extract Method,platform/lang-impl/src/com/intellij/codeInsight/completion/ActionTracker.java,,ActionTracker,43,0d8508a26784c1e0eedd76b1d02b08cff9d3cb07
