refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Change Parameter Type,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,public,MockMethodInterceptor,4,d000e630775cfa45752eeb491a197283e7370621
Change Parameter Type,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,public,MockMethodInterceptor,4,d000e630775cfa45752eeb491a197283e7370621
Change Method Access Modifier,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,public,MockMethodInterceptor,70,d000e630775cfa45752eeb491a197283e7370621
Change Return Type,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,public,MockMethodInterceptor,8,d000e630775cfa45752eeb491a197283e7370621
Rename Method,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Rename Parameter,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Remove Parameter,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,3,d000e630775cfa45752eeb491a197283e7370621
Rename Method,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Rename Parameter,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Remove Parameter,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,3,d000e630775cfa45752eeb491a197283e7370621
Rename Method,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Change Return Type,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,4,d000e630775cfa45752eeb491a197283e7370621
Rename Parameter,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Change Parameter Type,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Move And Inline Method,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,,ModuleHandler,348,d000e630775cfa45752eeb491a197283e7370621
Rename Method,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,,ModuleHandler,16,d000e630775cfa45752eeb491a197283e7370621
Rename Parameter,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Remove Parameter,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,17,d000e630775cfa45752eeb491a197283e7370621
Rename Method,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,,ModuleHandler,18,d000e630775cfa45752eeb491a197283e7370621
Change Return Type,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,20,d000e630775cfa45752eeb491a197283e7370621
Rename Parameter,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Change Parameter Type,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,package,ModuleHandler,2,d000e630775cfa45752eeb491a197283e7370621
Remove Thrown Exception Type,mockito-core/src/test/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMakerTest.java,public,InlineDelegateByteBuddyMockMakerTest,26,c81be5deedfd966bd17c9619769a34c74d9779e6
Extract Variable,mockito-core/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java,package,InvocationContainerImpl,3,6e53f34a3f54d2b7dc23595566b9331a94b57263
Move Source Folder,mockito-core/src/test/java/org/mockitoutil/ClassLoaders.java,,ClassLoaders,1287,1193be78bb3e82136ac8c2c94f744337f39c57c7
Rename Method,mockito-core/src/test/java/org/mockitoutil/SimplePerRealmReloadingClassLoader.java,,SimplePerRealmReloadingClassLoader,8,1193be78bb3e82136ac8c2c94f744337f39c57c7
Move Source Folder,,,,0,1193be78bb3e82136ac8c2c94f744337f39c57c7
