refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,192,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,36,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,156,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,104,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,122,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,122,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,178,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,184,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,376,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,162,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,188,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,141,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,141,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,141,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,141,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,141,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,141,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,182,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,138,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,226,feb99ea509641d9471d89071db2ade43f7a76548
Change Variable Type,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,private,RemoteClusterServiceTests,8,feb99ea509641d9471d89071db2ade43f7a76548
Parameterize Variable,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,private,RemoteClusterServiceTests,8,feb99ea509641d9471d89071db2ade43f7a76548
Change Variable Type,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,private,RemoteClusterServiceTests,8,feb99ea509641d9471d89071db2ade43f7a76548
Parameterize Variable,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,private,RemoteClusterServiceTests,8,feb99ea509641d9471d89071db2ade43f7a76548
Change Variable Type,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,private,RemoteClusterServiceTests,8,feb99ea509641d9471d89071db2ade43f7a76548
Parameterize Variable,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,private,RemoteClusterServiceTests,8,feb99ea509641d9471d89071db2ade43f7a76548
Add Parameter,test/framework/src/main/java/org/elasticsearch/node/MockNode.java,protected,MockNode,91,feb99ea509641d9471d89071db2ade43f7a76548
Add Method Annotation,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,public,FieldAttribute,11,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,public,FieldAttribute,7,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,public,FieldAttribute,14,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,public,FieldAttribute,28,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,protected,FieldAttribute,19,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Variable,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/LogicalPlanBuilder.java,public,LogicalPlanBuilder,12,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Variable,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/LogicalPlanBuilder.java,public,LogicalPlanBuilder,12,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Method Annotation,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/LogicalPlanBuilder.java,public,LogicalPlanBuilder,177,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/EmptyAttribute.java,protected,EmptyAttribute,17,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Method Annotation,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,public,ReferenceAttribute,11,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,public,ReferenceAttribute,22,99318f459902d478c8c5ae46c7ae36afa76c4d0b
