refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Change Return Type,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Add Parameter,ModuleHandler,package,12,4,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Remove Parameter,ModuleHandler,:,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,1
Remove Parameter,ModuleHandler,private,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,3
Remove Parameter,ModuleHandler,private,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,3
Add Method Annotation,ModuleHandler,package,12,4,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Change Method Access Modifier,ModuleHandler,package,12,4,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Remove Method Modifier,ModuleHandler,private,12,4,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,3
Replace Variable With Attribute,ModuleHandler,:,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,1
Rename Attribute,ModuleHandler,,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Change Parameter Type,SubclassByteBuddyMockMaker,public,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassByteBuddyMockMaker.java,d000e630775cfa45752eeb491a197283e7370621,18,4
